country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Norway,7.53700017929077,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041
Denmark,7.52199983596802,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477
Iceland,7.50400018692017,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457
Switzerland,7.49399995803833,0.858131289482117,0.620070576667786,0.367007285356522,0.290549278259277
Finland,7.4689998626709,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873
Netherlands,7.3769998550415,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671
Canada,7.31599998474121,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627
New Zealand,7.31400012969971,0.816759705543518,0.614062130451202,0.382816702127457,0.500005125999451
Sweden,7.28399991989136,0.830875158309937,0.612924098968506,0.384398728609085,0.385399252176285
Australia,7.28399991989136,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834
Israel,7.21299982070923,0.83840399980545,0.405988603830338,0.085242100059986,0.330082654953003
Costa Rica,7.0789999961853,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331
Austria,7.00600004196167,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734
United States,6.99300003051758,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093
Ireland,6.97700023651123,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881
Germany,6.95100021362305,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853
Belgium,6.89099979400635,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689
Luxembourg,6.86299991607666,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466
United Kingdom,6.71400022506714,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202
Chile,6.65199995040894,0.819479703903198,0.376895278692245,0.082287982106209,0.326662421226501
United Arab Emirates,6.64799976348877,0.726798236370087,0.60834527015686,0.324489563703537,0.3609419465065
Brazil,6.63500022888184,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283
Czech Republic,6.60900020599365,0.754444003105164,0.490946173667908,0.036872927099466,0.088106758892536
Argentina,6.59899997711182,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695
Mexico,6.57800006866455,0.709978997707367,0.412730008363724,0.132774114608765,0.120990432798862
Singapore,6.57200002670288,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459
Malta,6.52699995040894,0.821944236755371,0.588767051696777,0.153066068887711,0.574730575084686
Uruguay,6.4539999961853,0.719216823577881,0.57939225435257,0.178061872720718,0.175096929073334
Guatemala,6.4539999961853,0.540239989757538,0.531310617923737,0.077223278582096,0.283488392829895
Panama,6.4520001411438,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427
France,6.44199991226196,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425
Thailand,6.42399978637695,0.647239029407501,0.580200731754303,0.031612735241652,0.572123110294342
Taiwan Province of China,6.42199993133545,0.793984234333038,0.361466586589813,0.063829235732555,0.258360475301743
Spain,6.40299987792969,0.888960599899292,0.408781230449677,0.070914097130299,0.190133571624756
Qatar,6.375,0.710098087787628,0.604130983352661,0.439299255609512,0.330473870038986
Colombia,6.35699987411499,0.595027923583984,0.477487415075302,0.046668741852045,0.149014472961426
