country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Finland,7.769,0.986,0.596,0.393,0.153
Denmark,7.6,0.996,0.592,0.41,0.252
Norway,7.554,1.028,0.603,0.341,0.271
Iceland,7.494,1.026,0.591,0.118,0.354
Netherlands,7.488,0.999,0.557,0.298,0.322
Switzerland,7.48,1.052,0.572,0.343,0.263
Sweden,7.343,1.009,0.574,0.373,0.267
New Zealand,7.307,1.026,0.585,0.38,0.33
Canada,7.278,1.039,0.584,0.308,0.285
Austria,7.246,1.016,0.532,0.226,0.244
Australia,7.228,1.036,0.557,0.29,0.332
Costa Rica,7.167,0.963,0.558,0.093,0.144
Israel,7.139,1.029,0.371,0.082,0.261
Luxembourg,7.09,1.012,0.526,0.316,0.194
United Kingdom,7.054,0.996,0.45,0.278,0.348
Ireland,7.021,0.999,0.516,0.31,0.298
Germany,6.985,0.987,0.495,0.265,0.261
Belgium,6.923,0.986,0.473,0.21,0.16
United States,6.892,0.874,0.454,0.128,0.28
Czech Republic,6.852,0.92,0.457,0.036,0.046
United Arab Emirates,6.825,0.825,0.598,0.182,0.262
Malta,6.726,0.999,0.564,0.151,0.375
Mexico,6.595,0.861,0.433,0.073,0.074
France,6.592,1.045,0.436,0.183,0.111
Taiwan,6.446,0.914,0.351,0.097,0.242
Chile,6.444,0.92,0.357,0.056,0.187
Guatemala,6.436,0.746,0.535,0.078,0.175
Saudi Arabia,6.375,0.795,0.439,0.132,0.08
Qatar,6.374,0.871,0.555,0.167,0.22
Spain,6.354,1.062,0.362,0.079,0.153
Panama,6.321,0.91,0.516,0.054,0.109
Brazil,6.3,0.802,0.39,0.086,0.099
Uruguay,6.293,0.891,0.523,0.15,0.127
Singapore,6.262,1.141,0.556,0.453,0.271
El Salvador,6.253,0.789,0.43,0.074,0.093
Italy,6.223,1.039,0.231,0.03,0.158
Bahrain,6.199,0.871,0.536,0.11,0.255
Slovakia,6.198,0.881,0.334,0.014,0.121
Trinidad & Tobago,6.192,0.713,0.489,0.016,0.185
Poland,6.182,0.884,0.483,0.05,0.117
Uzbekistan,6.174,0.756,0.631,0.24,0.322
Lithuania,6.149,0.818,0.291,0.042,0.043
Colombia,6.125,0.841,0.47,0.034,0.099
Slovenia,6.118,0.953,0.564,0.057,0.144
Nicaragua,6.105,0.835,0.435,0.127,0.2
Kosovo,6.1,0.758,0.489,0.006,0.262
Argentina,6.086,0.881,0.471,0.05,0.066
Romania,6.07,0.825,0.462,0.005,0.083
Cyprus,6.046,1.042,0.406,0.041,0.19
Ecuador,6.028,0.868,0.498,0.087,0.126
Kuwait,6.021,0.808,0.493,0.097,0.142
Thailand,6.008,0.828,0.557,0.028,0.359
Latvia,5.94,0.812,0.264,0.064,0.075
South Korea,5.895,1.036,0.159,0.056,0.175
Estonia,5.893,0.874,0.495,0.161,0.103
Jamaica,5.89,0.831,0.49,0.028,0.107
Mauritius,5.888,0.798,0.498,0.06,0.215
Japan,5.886,1.088,0.445,0.14,0.069
Honduras,5.86,0.828,0.507,0.078,0.246
Kazakhstan,5.809,0.729,0.41,0.096,0.146
Bolivia,5.779,0.706,0.511,0.064,0.137
Hungary,5.758,0.828,0.199,0.02,0.081
