country, happiness_score, life_expectancy, freedom_of_choices, government_corruption, generosity
Switzerland,7.587,0.94143,0.66557,0.41978,0.29678
Iceland,7.561,0.94784,0.62877,0.14145,0.4363
Denmark,7.527,0.87464,0.64938,0.48357,0.34139
Norway,7.522,0.88521,0.66973,0.36503,0.34699
Canada,7.427,0.90563,0.63297,0.32957,0.45811
Finland,7.406,0.88911,0.64169,0.41372,0.23351
Netherlands,7.378,0.89284,0.61576,0.31814,0.4761
Sweden,7.364,0.91087,0.6598,0.43844,0.36262
New Zealand,7.286,0.90837,0.63938,0.42922,0.47501
Australia,7.284,0.93156,0.65124,0.35637,0.43562
Israel,7.278,0.91387,0.41319,0.07785,0.33172
Costa Rica,7.226,0.86027,0.63376,0.10583,0.25497
Austria,7.2,0.89042,0.62433,0.18676,0.33088
Mexico,7.187,0.81444,0.48181,0.21312,0.14074
United States,7.119,0.86179,0.54604,0.1589,0.40105
Brazil,6.983,0.69702,0.49049,0.17521,0.14574
Luxembourg,6.946,0.91894,0.61583,0.37798,0.28034
Ireland,6.94,0.89533,0.61777,0.28703,0.45901
Belgium,6.937,0.89667,0.5845,0.2254,0.2225
United Arab Emirates,6.901,0.80925,0.64157,0.38583,0.26428
United Kingdom,6.867,0.90943,0.59625,0.32067,0.51912
Oman,6.853,0.76276,0.63274,0.32524,0.21542
Venezuela,6.81,0.72052,0.42908,0.11069,0.05841
Singapore,6.798,1.02525,0.54252,0.4921,0.31105
Panama,6.786,0.79661,0.5421,0.0927,0.24434
Germany,6.75,0.89186,0.61477,0.21843,0.28214
Chile,6.67,0.85857,0.44132,0.12869,0.33363
Qatar,6.611,0.79733,0.6404,0.52208,0.32573
France,6.575,0.94579,0.55011,0.20646,0.12332
Argentina,6.574,0.78723,0.44974,0.08484,0.11451
Czech Republic,6.505,0.84483,0.46364,0.02652,0.10686
Uruguay,6.485,0.8116,0.60362,0.24558,0.2324
Colombia,6.477,0.69077,0.53466,0.0512,0.18401
Thailand,6.455,0.7385,0.55664,0.03187,0.5763
Saudi Arabia,6.411,0.72025,0.31048,0.32524,0.13706
Spain,6.329,0.95562,0.45951,0.06398,0.18227
Malta,6.302,0.88721,0.60365,0.13586,0.51752
Taiwan,6.298,0.8753,0.3974,0.08129,0.25376
Kuwait,6.295,0.72492,0.55499,0.25609,0.16228
Suriname,6.269,0.6082,0.59657,0.13633,0.16991
Trinidad and Tobago,6.168,0.61483,0.55884,0.0114,0.31844
El Salvador,6.13,0.67737,0.4035,0.11776,0.10692
Guatemala,6.123,0.64425,0.57733,0.09472,0.27489
Uzbekistan,6.003,0.59772,0.65821,0.30826,0.22837
Slovakia,5.995,0.78902,0.31751,0.03431,0.16893
Japan,5.987,0.99111,0.49615,0.1806,0.10705
South Korea,5.984,0.96538,0.33208,0.07857,0.18557
Ecuador,5.975,0.79075,0.48574,0.1809,0.11541
Bahrain,5.96,0.74716,0.45492,0.306,0.17362
Italy,5.948,0.95446,0.26236,0.02901,0.22823
Bolivia,5.89,0.5392,0.57414,0.088,0.20536
Moldova,5.889,0.61826,0.32818,0.01615,0.20951
Paraguay,5.878,0.66098,0.53899,0.08242,0.3424
Kazakhstan,5.855,0.64368,0.51649,0.08454,0.11827
Slovenia,5.848,0.87337,0.60855,0.03787,0.25328
Lithuania,5.833,0.73128,0.21342,0.01031,0.02641
Nicaragua,5.828,0.74314,0.55475,0.19317,0.27815
Peru,5.824,0.73017,0.41496,0.05989,0.14982
Belarus,5.813,0.73608,0.37938,0.1909,0.11046
Poland,5.791,0.77903,0.53122,0.04212,0.16759
Malaysia,5.77,0.72394,0.53024,0.10501,0.33075
Croatia,5.759,0.78805,0.25883,0.0243,0.05444
Libya,5.754,0.7038,0.41668,0.11023,0.18295
Russia,5.716,0.66926,0.36679,0.03005,0.00199
Jamaica,5.709,0.68741,0.50442,0.02299,0.2123
North Cyprus,5.695,0.92356,0.49027,0.1428,0.26169
Cyprus,5.689,0.92356,0.40672,0.06146,0.30638
Algeria,5.605,0.61766,0.28579,0.17383,0.07822
Kosovo,5.589,0.63132,0.24749,0.04741,0.2831
Turkmenistan,5.548,0.53886,0.4761,0.30844,0.16979
Mauritius,5.477,0.7095,0.56066,0.07521,0.37744
Hong Kong,5.474,1.01328,0.59608,0.37124,0.39478
Estonia,5.429,0.77361,0.44888,0.15184,0.0868
Indonesia,5.399,0.63793,0.46611,0,0.51535
Vietnam,5.36,0.74676,0.59444,0.10441,0.1686
Turkey,5.332,0.73172,0.22815,0.15746,0.12253
Kyrgyzstan,5.286,0.65088,0.43477,0.04232,0.3003
Nigeria,5.268,0.16007,0.34334,0.0403,0.27233
Bhutan,5.253,0.57407,0.53206,0.15445,0.47998
Azerbaijan,5.212,0.64045,0.3703,0.16065,0.07799
Pakistan,5.194,0.51466,0.12102,0.10464,0.33671
Jordan,5.192,0.69639,0.40661,0.14293,0.11053
Montenegro,5.192,0.72521,0.1826,0.14296,0.1614
China,5.14,0.81658,0.51697,0.02781,0.08185
Zambia,5.129,0.29924,0.48827,0.12468,0.19591
Romania,5.124,0.7689,0.35068,0.00649,0.13748
